source,target,edge_type,weight
cui-wd-q6661,cat-breakfast-dishes-7ff5de50,cuisine_category,1.000
cui-wd-q6661,cat-confections-and-sweets-33dd665f,cuisine_category,1.000
cui-wd-q6661,cat-pancakes-and-crepes-283edd96,cuisine_category,1.000
cui-wd-q6661,cat-pies-and-pastries-eefde59e,cuisine_category,1.000
cui-wd-q6661,cat-seafood-dishes-67642233,cuisine_category,1.000
cui-wd-q6661,cat-soups-58c2caa7,cuisine_category,1.000
cui-wd-q6661,cat-stews-ce00fa93,cuisine_category,1.000
cui-wd-q7033037,cat-breakfast-dishes-7ff5de50,cuisine_category,1.000
cui-wd-q7033037,cat-dips-and-spreads-3b58ecf2,cuisine_category,1.000
cui-wd-q7033037,cat-pancakes-and-crepes-283edd96,cuisine_category,1.000
cui-wd-q7033037,cat-salads-aa3e870c,cuisine_category,1.000
cui-wd-q707908,cat-seafood-dishes-67642233,cuisine_category,1.000
cui-wd-q744027,cat-casseroles-and-bakes-43c0edef,cuisine_category,1.000
cui-wd-q744027,cat-salads-aa3e870c,cuisine_category,1.000
cui-wd-q756020,cat-cookies-and-biscuits-55578132,cuisine_category,1.000
cui-wd-q756020,cat-pasta-dishes-18ec3e4d,cuisine_category,1.000
cui-wd-q772247,cat-cakes-and-gateaux-d8e29f50,cuisine_category,1.000
cui-wd-q783010,cat-snacks-and-street-food-7e6d6760,cuisine_category,1.000
cui-wd-q787497,cat-breakfast-dishes-7ff5de50,cuisine_category,1.000
cui-wd-q787497,cat-cakes-and-gateaux-d8e29f50,cuisine_category,1.000
cui-wd-q787497,cat-fried-dishes-and-fritters-31bc2558,cuisine_category,1.000
cui-wd-q787497,cat-seafood-dishes-67642233,cuisine_category,1.000
cui-wd-q826059,cat-breads-and-loaves-c2814f9c,cuisine_category,1.000
cui-wd-q826059,cat-cakes-and-gateaux-d8e29f50,cuisine_category,1.000
cui-wd-q826059,cat-dumplings-and-buns-9a441702,cuisine_category,1.000
cui-wd-q841984,cat-curries-c13d2ace,cuisine_category,1.000
cui-wd-q918277,cat-pasta-dishes-18ec3e4d,cuisine_category,1.000
cui-wd-q918277,cat-pies-and-pastries-eefde59e,cuisine_category,1.000
cui-wd-q918277,cat-sandwiches-116c3e15,cuisine_category,1.000
cui-wd-q9943666,cat-cookies-and-biscuits-55578132,cuisine_category,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q119496294,category_family,1.000
cat-soups-58c2caa7,fam-wd-q85739611,category_family,1.000
cat-salads-aa3e870c,fam-wd-q25055799,category_family,1.000
cat-salads-aa3e870c,fam-wd-q107358883,category_family,1.000
cat-pancakes-and-crepes-283edd96,fam-wd-q99654352,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q110738684,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q96371762,category_family,1.000
cat-sauces-and-condiments-10f97308,fam-wd-q997633,category_family,1.000
cat-confections-and-sweets-33dd665f,fam-wd-q4754282,category_family,1.000
cat-burgers-09c6dfae,fam-wd-q16301690,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q864174,category_family,1.000
cat-breads-and-loaves-c2814f9c,fam-wd-q24839104,category_family,1.000
cat-soups-58c2caa7,fam-wd-q30592390,category_family,1.000
cat-wraps-and-rolls-dd6f3471,fam-wd-q4833788,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q96372980,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q136393819,category_family,1.000
cat-flatbreads-and-pizzas-f0961fe2,fam-wd-q138011108,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q7220887,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q187495,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q1293258,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q843795,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q16172783,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q125475914,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q107323701,category_family,1.000
cat-dumplings-and-buns-9a441702,fam-wd-q564271,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q88462839,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q24951925,category_family,1.000
cat-pies-and-pastries-eefde59e,fam-wd-q4876265,category_family,1.000
cat-breakfast-dishes-7ff5de50,fam-wd-q107416756,category_family,1.000
cat-braises-and-roasts-6028fcc9,fam-wd-q1022124,category_family,1.000
cat-breakfast-dishes-7ff5de50,fam-wd-q62271704,category_family,1.000
cat-noodle-dishes-f57723d0,fam-wd-q213105,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q1195276,category_family,1.000
cat-rice-dishes-e5a0eea5,fam-wd-q271555,category_family,1.000
cat-cakes-and-gateaux-d8e29f50,fam-wd-q85747395,category_family,1.000
cat-cookies-and-biscuits-55578132,fam-wd-q3243732,category_family,1.000
cat-snacks-and-street-food-7e6d6760,fam-wd-q4835804,category_family,1.000
cat-pancakes-and-crepes-283edd96,fam-wd-q109260442,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q137916343,category_family,1.000
cat-sandwiches-116c3e15,fam-wd-q116947279,category_family,1.000
cat-soups-58c2caa7,fam-wd-q4551,category_family,1.000
