dish_family_id,technique_id,role,is_core,weight
fam-wd-q18456540,tec-slice-c5c54944,supporting,false,0.700
fam-wd-q1195276,tec-whisk-297ea626,core,true,1.000
fam-wd-q1195276,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q1195276,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q271555,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q271555,tec-steam-3f9d1489,core,true,0.850
fam-wd-q271555,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q3640406,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3640406,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3640406,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q85747395,tec-whisk-297ea626,core,true,1.000
fam-wd-q85747395,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q85747395,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q69394023,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q69394023,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q69394023,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q3243732,tec-roll-82a127e4,core,true,0.850
fam-wd-q3243732,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q4835804,tec-grill-7732deea,core,true,0.850
fam-wd-q109260442,tec-whisk-297ea626,core,true,1.000
fam-wd-q109260442,tec-griddle-717e3046,core,true,0.850
fam-wd-q109260442,tec-fold-3d6b3a9d,supporting,false,0.700
fam-wd-q952366,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q952366,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q952366,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q733196,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q733196,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q733196,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q137916343,tec-slice-c5c54944,core,true,1.000
fam-wd-q137916343,tec-toast-033b5dd6,core,true,0.850
fam-wd-q4940616,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q4940616,tec-braise-4a3832ff,core,true,0.850
fam-wd-q4940616,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q116947279,tec-slice-c5c54944,core,true,1.000
fam-wd-q116947279,tec-toast-033b5dd6,core,true,0.850
fam-wd-q4943588,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q4943588,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q4943588,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q4551,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q4551,tec-puree-c8c7256b,core,true,0.850
fam-wd-q4551,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q828043,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q828043,tec-braise-4a3832ff,core,true,0.850
fam-wd-q828043,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q12881337,tec-grill-7732deea,core,true,1.000
fam-wd-q12881337,tec-roast-72d2c26d,core,true,0.850
fam-wd-q12881337,tec-dress-salad-91d1ae3a,supporting,false,0.700
fam-wd-q28173633,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q28173633,tec-proof-24fa378d,core,true,0.850
fam-wd-q28173633,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q56292893,tec-grill-7732deea,core,true,1.000
fam-wd-q56292893,tec-poach-37fe693c,core,true,0.850
fam-wd-q56292893,tec-pan-fry-b855a6f6,supporting,false,0.700
fam-wd-q1855212,tec-griddle-717e3046,core,true,1.000
fam-wd-q1855212,tec-toast-033b5dd6,supporting,false,0.700
fam-wd-q3646108,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3646108,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3646108,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q50634,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q50634,tec-proof-24fa378d,core,true,0.850
fam-wd-q50634,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q123913891,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q123913891,tec-proof-24fa378d,core,true,0.850
fam-wd-q123913891,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q3647314,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3647314,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3647314,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q85749574,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q85749574,tec-steam-3f9d1489,core,true,0.850
fam-wd-q85749574,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q390823,tec-fill-crepes-6bab5c44,core,true,1.000
fam-wd-q390823,tec-roll-82a127e4,core,true,0.850
fam-wd-q390823,tec-stuff-996e573e,supporting,false,0.700
fam-wd-q390823,tec-toast-spices-1bf6f315,supporting,false,0.550
fam-wd-q42417869,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q42417869,tec-reduce-d97bb11e,core,true,0.850
