id,slug,name,normalized_name,description,dish_id,parent_variation_id,variation_type,source_id,source_url,attribution_text,author_name,location_text,is_canonical,created_at,updated_at
var-brutti-e-buoni-dcd85818,brutti-e-buoni,Brutti e buoni,brutti e buoni,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q3646108,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q3646108,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bryndzove-halusky-69a30cae,bryndzove-halusky,Bryndzové halušky,bryndzove halusky,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q995299,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q995299,Canonical starter reference,,Slovakia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bssisa-a3319594,bssisa,Bssisa,bssisa,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q2527136,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q2527136,Canonical starter reference,,North Africa,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buah-keluak-63b1d169,buah-keluak,buah keluak,buah keluak,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q12512536,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q12512536,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubble-and-squeak-bde943b6,bubble-and-squeak,bubble and squeak,bubble and squeak,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q573516,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q573516,Canonical starter reference,,United Kingdom,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubble-tape-38fccbb6,bubble-tape,Bubble Tape,bubble tape,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4982210,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4982210,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubble-yum-4721dcaa,bubble-yum,Bubble Yum,bubble yum,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4982218,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4982218,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubblicious-0bdc721c,bubblicious,Bubblicious,bubblicious,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4982271,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4982271,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubur-cha-cha-587cfe42,bubur-cha-cha,Bubur cha cha,bubur cha cha,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q30587715,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q30587715,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubur-kacang-hijau-1c3b278e,bubur-kacang-hijau,bubur kacang hijau,bubur kacang hijau,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4197962,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4197962,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bubur-ketan-hitam-3935f0af,bubur-ketan-hitam,Bubur ketan hitam,bubur ketan hitam,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q16773515,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q16773515,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buddha-bowl-a43b7a4c,buddha-bowl,Buddha bowl,buddha bowl,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q60754611,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q60754611,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buddha-s-delight-25646ec0,buddha-s-delight,Buddha's delight,buddha s delight,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q2402333,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q2402333,Canonical starter reference,,People's Republic of China,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bulbulyuvas-952ca141,bulbulyuvas,bülbülyuvası,bulbulyuvas,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4818958,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4818958,Canonical starter reference,,Syria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bulz-9508f9a5,bulz,Bulz,bulz,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q1004735,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q1004735,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bun-cha-ff11762f,bun-cha,Bun cha,bun cha,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q50634,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q50634,Canonical starter reference,,Vietnam,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bun-ken-c9714677,bun-ken,Bún kèn,bun ken,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q123913891,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q123913891,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buntil-6234812b,buntil,Buntil,buntil,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q4997935,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q4997935,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-burgo-b327d3ab,burgo,Burgo,burgo,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q60761467,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q60761467,Canonical starter reference,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buridda-0899bf6b,buridda,Buridda,buridda,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q3647314,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q3647314,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-burmese-fried-rice-0ef39252,burmese-fried-rice,Burmese fried rice,burmese fried rice,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q85749574,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q85749574,Canonical starter reference,,Myanmar,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-burrito-c22f4000,burrito,burrito,burrito,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q390823,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q390823,Canonical starter reference,,Mexico,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-bustrengo-86d00ede,bustrengo,Bustrengo,bustrengo,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q42417869,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q42417869,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-butifarra-ca36da4d,butifarra,butifarra,butifarra,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5736147,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5736147,Canonical starter reference,,Peru,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-butter-board-884d4e32,butter-board,butter board,butter board,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q114714086,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q114714086,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buttered-rice-21378d75,buttered-rice,Buttered rice,buttered rice,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q19712268,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q19712268,Canonical starter reference,,Myanmar,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buttermilk-crispy-tenders-932fcd78,buttermilk-crispy-tenders,Buttermilk Crispy Tenders,buttermilk crispy tenders,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q54952473,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q54952473,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-buttermilk-koldskal-7acc219a,buttermilk-koldskal,Buttermilk koldskål,buttermilk koldskal,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q566533,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q566533,Canonical starter reference,,Denmark,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-c-howard-s-violet-candies-6155f5c6,c-howard-s-violet-candies,C. Howard's Violet candies,c howard s violet candies,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5006522,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5006522,Canonical starter reference,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cabbage-casserole-4091abaa,cabbage-casserole,cabbage casserole,cabbage casserole,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5015278,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5015278,Canonical starter reference,,Finland,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cabbage-stew-a-la-szekely-68315eed,cabbage-stew-a-la-szekely,cabbage stew a la Székely,cabbage stew a la szekely,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q1302342,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q1302342,Canonical starter reference,,Hungary,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cacciatore-dcca985f,cacciatore,cacciatore,cacciatore,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q627744,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q627744,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cachupa-b308953e,cachupa,Cachupa,cachupa,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q2060858,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q2060858,Canonical starter reference,,Cape Verde,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
var-cacio-e-pepe-65787d0e,cacio-e-pepe,cacio e pepe,cacio e pepe,Canonical reference variation anchored to the source-backed dish record.,dish-wd-q5016033,,canonical_reference,src-wikidata,https://www.wikidata.org/wiki/Q5016033,Canonical starter reference,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
