dish_family_id,cuisine_id,relation_kind
fam-wd-q5311505,cui-wd-q1729345,associated
fam-wd-q19838749,cui-wd-q654493,associated
fam-wd-q134374794,cui-wd-q264327,associated
fam-wd-q2877510,cui-wd-q1324207,associated
fam-wd-q12593636,cui-wd-q647500,associated
fam-wd-q5331480,cui-wd-q7033037,associated
fam-wd-q28402897,cui-wd-q7033037,associated
fam-wd-q30599933,cui-wd-q7033037,associated
fam-wd-q113002820,cui-wd-q7033037,associated
fam-wd-q25043246,cui-wd-q7033037,associated
fam-wd-q113038928,cui-wd-q7033037,associated
fam-wd-q28000941,cui-wd-q42029,associated
fam-wd-q4811799,cui-wd-q654493,associated
fam-wd-q10271107,cui-wd-q7033037,associated
fam-wd-q5373825,cui-wd-q787497,associated
fam-wd-q17050490,cui-wd-q787497,associated
fam-wd-q10931125,cui-wd-q1520796,associated
fam-wd-q123474581,cui-wd-q180817,associated
fam-wd-q876096,cui-wd-q207965,associated
fam-wd-q5832771,cui-wd-q207965,associated
fam-wd-q16975890,cui-wd-q787497,associated
fam-wd-q3909175,cui-wd-q787497,associated
fam-wd-q16942586,cui-wd-q787497,associated
fam-wd-q3097864,cui-wd-q180817,associated
fam-wd-q3044741,cui-wd-q622512,associated
fam-wd-q5642869,cui-american-60d23958,associated
fam-wd-q121379458,cui-american-60d23958,associated
fam-wd-q47005642,cui-wd-q7033037,associated
fam-wd-q1049501,cui-american-60d23958,associated
fam-wd-q995376,cui-wd-q622512,associated
fam-wd-q188788,cui-wd-q1346230,associated
fam-wd-q1397036,cui-wd-q614394,associated
fam-wd-q10280270,cui-wd-q180817,associated
fam-wd-q85760630,cui-wd-q62458,associated
fam-wd-q19723512,cui-wd-q654493,associated
fam-wd-q2915859,cui-american-60d23958,associated
fam-wd-q20016,cui-wd-q622512,associated
fam-wd-q60763218,cui-wd-q1520796,associated
fam-wd-q4352160,cui-wd-q918277,associated
fam-wd-q8961756,cui-wd-q756020,associated
fam-wd-q5862467,cui-wd-q207965,associated
fam-wd-q681770,cui-wd-q47629,associated
fam-wd-q3309212,cui-american-60d23958,associated
fam-wd-q18164838,cui-american-60d23958,associated
fam-wd-q30737843,cui-wd-q6661,associated
fam-wd-q938386,cui-wd-q1328433,associated
fam-wd-q152088,cui-belgian-f69a2115,associated
fam-wd-q85762176,cui-wd-q62458,associated
fam-wd-q1471040,cui-wd-q192786,associated
fam-wd-q379138,cui-american-60d23958,associated
fam-wd-q1473422,cui-wd-q1346230,associated
fam-wd-q950976,cui-wd-q622512,associated
fam-wd-q209304,cui-wd-q787497,associated
fam-wd-q896508,cui-wd-q47629,associated
fam-wd-q5517536,cui-wd-q192087,associated
fam-wd-q5317729,cui-wd-q192087,associated
fam-wd-q923729,cui-wd-q6661,associated
fam-wd-q12233354,cui-wd-q2915172,associated
fam-wd-q5371702,cui-wd-q647500,associated
fam-wd-q3094712,cui-wd-q6661,associated
fam-wd-q109820549,cui-wd-q622512,associated
fam-wd-q3083513,cui-wd-q6661,associated
