from_dish_id,to_dish_id,relation_type,weight
dish-wd-q99654352,dish-wd-q109260442,same_category_neighbor,0.350
dish-wd-q109260442,dish-wd-q12200,same_category_neighbor,0.350
dish-wd-q12200,dish-wd-q44541,same_category_neighbor,0.350
dish-wd-q44541,dish-wd-q107358612,same_category_neighbor,0.350
dish-wd-q107358612,dish-wd-q152981,same_category_neighbor,0.350
dish-wd-q152981,dish-wd-q10659978,same_category_neighbor,0.350
dish-wd-q96371762,dish-wd-q96372980,same_category_neighbor,0.350
dish-wd-q96372980,dish-wd-q7220887,same_category_neighbor,0.350
dish-wd-q7220887,dish-wd-q107323701,same_category_neighbor,0.350
dish-wd-q107323701,dish-wd-q271555,same_category_neighbor,0.350
dish-wd-q271555,dish-wd-q85749574,same_category_neighbor,0.350
dish-wd-q85749574,dish-wd-q19712268,same_category_neighbor,0.350
dish-wd-q19712268,dish-wd-q7185336,same_category_neighbor,0.350
dish-wd-q7185336,dish-wd-q5084201,same_category_neighbor,0.350
dish-wd-q5084201,dish-wd-q523224,same_category_neighbor,0.350
dish-wd-q523224,dish-wd-q2634430,same_category_neighbor,0.350
dish-wd-q2634430,dish-wd-q3234514,same_category_neighbor,0.350
dish-wd-q3234514,dish-wd-q1228260,same_category_neighbor,0.350
dish-wd-q1228260,dish-wd-q122957244,same_category_neighbor,0.350
dish-wd-q122957244,dish-wd-q17019149,same_category_neighbor,0.350
dish-wd-q17019149,dish-wd-q1076874,same_category_neighbor,0.350
dish-wd-q1076874,dish-wd-q2445410,same_category_neighbor,0.350
dish-wd-q2445410,dish-wd-q6038850,same_category_neighbor,0.350
dish-wd-q6038850,dish-wd-q30671978,same_category_neighbor,0.350
dish-wd-q30671978,dish-wd-q19746552,same_category_neighbor,0.350
dish-wd-q19746552,dish-wd-q816663,same_category_neighbor,0.350
dish-wd-q816663,dish-wd-q85773496,same_category_neighbor,0.350
dish-wd-q85773496,dish-wd-q6403206,same_category_neighbor,0.350
dish-wd-q6403206,dish-wd-q6404116,same_category_neighbor,0.350
dish-wd-q6404116,dish-wd-q125745103,same_category_neighbor,0.350
dish-wd-q125745103,dish-wd-q55285600,same_category_neighbor,0.350
dish-wd-q55285600,dish-wd-q13013369,same_category_neighbor,0.350
dish-wd-q13013369,dish-wd-q20423491,same_category_neighbor,0.350
dish-wd-q20423491,dish-wd-q26884006,same_category_neighbor,0.350
dish-wd-q26884006,dish-wd-q212121,same_category_neighbor,0.350
dish-wd-q212121,dish-wd-q489703,same_category_neighbor,0.350
dish-wd-q489703,dish-wd-q7323065,same_category_neighbor,0.350
dish-wd-q7323065,dish-wd-q7446149,same_category_neighbor,0.350
dish-wd-q7446149,dish-wd-q4201329,same_category_neighbor,0.350
dish-wd-q4201329,dish-wd-q95433527,same_category_neighbor,0.350
dish-wd-q95433527,dish-wd-q138782002,same_category_neighbor,0.350
dish-wd-q138782002,dish-wd-q7522199,same_category_neighbor,0.350
dish-wd-q7522199,dish-wd-q3051500,same_category_neighbor,0.350
dish-wd-q3051500,dish-wd-q16230436,same_category_neighbor,0.350
dish-wd-q16230436,dish-aiwowo-9c0986b9,same_category_neighbor,0.350
dish-aiwowo-9c0986b9,dish-insalata-di-riso-159e6d48,same_category_neighbor,0.350
dish-insalata-di-riso-159e6d48,dish-kanika-food-0798b6dd,same_category_neighbor,0.350
dish-kanika-food-0798b6dd,dish-kfc-rice-a2f3912a,same_category_neighbor,0.350
dish-kfc-rice-a2f3912a,dish-lentil-rice-15edb98e,same_category_neighbor,0.350
dish-lentil-rice-15edb98e,dish-sayadieh-60e3440e,same_category_neighbor,0.350
dish-sayadieh-60e3440e,dish-arabic-rice-42d5b90d,same_category_neighbor,0.350
dish-arabic-rice-42d5b90d,dish-wd-q12522818,same_category_neighbor,0.350
dish-wd-q12522818,dish-wd-q135921173,same_category_neighbor,0.350
dish-wd-q135921173,dish-wd-q135927675,same_category_neighbor,0.350
dish-wd-q135927675,dish-wd-q17048447,same_category_neighbor,0.350
dish-wd-q17048447,dish-wd-q860170,same_category_neighbor,0.350
dish-wd-q997633,dish-wd-q122782077,same_category_neighbor,0.350
dish-wd-q122782077,dish-wd-q777487,same_category_neighbor,0.350
dish-wd-q777487,dish-wd-q7489821,same_category_neighbor,0.350
dish-wd-q7489821,dish-wd-q48724049,same_category_neighbor,0.350
dish-wd-q48724049,dish-wd-q7919751,same_category_neighbor,0.350
dish-wd-q4754282,dish-wd-q28209622,same_category_neighbor,0.350
dish-wd-q28209622,dish-wd-q595744,same_category_neighbor,0.350
dish-wd-q595744,dish-wd-q15985102,same_category_neighbor,0.350
dish-wd-q15985102,dish-wd-q134125172,same_category_neighbor,0.350
dish-wd-q134125172,dish-wd-q1721876,same_category_neighbor,0.350
dish-wd-q1721876,dish-wd-q5103662,same_category_neighbor,0.350
dish-wd-q5103662,dish-wd-q20092696,same_category_neighbor,0.350
dish-wd-q20092696,dish-wd-q16965840,same_category_neighbor,0.350
dish-wd-q16965840,dish-wd-q18693799,same_category_neighbor,0.350
dish-wd-q18693799,dish-wd-q379138,same_category_neighbor,0.350
dish-wd-q379138,dish-wd-q123910268,same_category_neighbor,0.350
dish-wd-q123910268,dish-wd-q26877970,same_category_neighbor,0.350
dish-wd-q26877970,dish-wd-q23461185,same_category_neighbor,0.350
dish-wd-q23461185,dish-wd-q23461193,same_category_neighbor,0.350
dish-wd-q23461193,dish-wd-q55700816,same_category_neighbor,0.350
dish-wd-q55700816,dish-wd-q7623197,same_category_neighbor,0.350
dish-wd-q7623197,dish-wd-q11902383,same_category_neighbor,0.350
dish-wd-q11902383,dish-wd-q1812421,same_category_neighbor,0.350
dish-wd-q16301690,dish-wd-q6663,same_category_neighbor,0.350
dish-wd-q6663,dish-wd-q1094305,same_category_neighbor,0.350
dish-wd-q1094305,dish-wd-q132775271,same_category_neighbor,0.350
dish-wd-q864174,dish-wd-q1293258,same_category_neighbor,0.350
dish-wd-q1293258,dish-wd-q843795,same_category_neighbor,0.350
dish-wd-q843795,dish-wd-q213105,same_category_neighbor,0.350
dish-wd-q213105,dish-wd-q21087825,same_category_neighbor,0.350
dish-wd-q21087825,dish-wd-q703286,same_category_neighbor,0.350
dish-wd-q703286,dish-wd-q964107,same_category_neighbor,0.350
dish-wd-q964107,dish-wd-q5309357,same_category_neighbor,0.350
dish-wd-q5309357,dish-wd-q20016,same_category_neighbor,0.350
dish-wd-q20016,dish-wd-q16182271,same_category_neighbor,0.350
dish-wd-q16182271,dish-wd-q263351,same_category_neighbor,0.350
dish-wd-q263351,dish-wd-q715040,same_category_neighbor,0.350
dish-wd-q715040,dish-wd-q11676485,same_category_neighbor,0.350
dish-wd-q11676485,dish-wd-q19573003,same_category_neighbor,0.350
dish-wd-q19573003,dish-wd-q1124851,same_category_neighbor,0.350
dish-wd-q1124851,dish-wd-q1197104,same_category_neighbor,0.350
dish-wd-q1197104,dish-wd-q281385,same_category_neighbor,0.350
dish-wd-q281385,dish-wd-q97101726,same_category_neighbor,0.350
dish-wd-q97101726,dish-wd-q19738539,same_category_neighbor,0.350
dish-wd-q19738539,dish-wd-q6827067,same_category_neighbor,0.350
dish-wd-q6827067,dish-wd-q16765345,same_category_neighbor,0.350
dish-wd-q16765345,dish-wd-q130553333,same_category_neighbor,0.350
dish-wd-q130553333,dish-wd-q4208661,same_category_neighbor,0.350
dish-wd-q4208661,dish-wd-q85789410,same_category_neighbor,0.350
dish-wd-q85789410,dish-wd-q19695011,same_category_neighbor,0.350
dish-wd-q19695011,dish-wd-q1136876,same_category_neighbor,0.350
dish-wd-q1136876,dish-wd-q730298,same_category_neighbor,0.350
dish-wd-q730298,dish-wd-q7132274,same_category_neighbor,0.350
dish-wd-q7132274,dish-wd-q5261363,same_category_neighbor,0.350
dish-wd-q5261363,dish-wd-q234646,same_category_neighbor,0.350
dish-wd-q234646,dish-wd-q11249372,same_category_neighbor,0.350
dish-wd-q11249372,dish-banmian-89ef2ecd,same_category_neighbor,0.350
dish-banmian-89ef2ecd,dish-beef-noodle-soup-4dcd1b76,same_category_neighbor,0.350
dish-beef-noodle-soup-4dcd1b76,dish-cart-noodle-68dca97c,same_category_neighbor,0.350
dish-cart-noodle-68dca97c,dish-chongqing-noodles-22010713,same_category_neighbor,0.350
dish-chongqing-noodles-22010713,dish-kuanfen-noodles-b76d80e5,same_category_neighbor,0.350
dish-kuanfen-noodles-b76d80e5,dish-dan-zai-noodles-ca2e9b85,same_category_neighbor,0.350
dish-dan-zai-noodles-ca2e9b85,dish-dandan-noodles-1697cf2d,same_category_neighbor,0.350
