id,name,normalized_name,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title
fam-wd-q720254,asado,asado,,cui-wd-q579500,Q720254,Asado
fam-wd-q4803469,asam pedas,asam pedas,,cui-wd-q787497,Q4803469,Asam pedas
fam-wd-q122999857,Asaro,asaro,,cui-wd-q7033037,Q122999857,Asaro (food)
fam-wd-q137217603,Ashoka Halwa,ashoka halwa,,cui-wd-q192087,Q137217603,Ashoka Halwa
fam-wd-q2984652,Asida,asida,,,Q2984652,Asida
fam-wd-q837480,aspic,aspic,,,Q837480,Aspic
fam-wd-q136922,aşure,asure,,,Q136922,Ashure
fam-wd-q30592390,Atama soup,atama soup,cat-soups-58c2caa7,cui-wd-q7033037,Q30592390,Atama soup
fam-wd-q951525,Avial,avial,,cui-wd-q192087,Q951525,Avial
fam-wd-q16836245,Ayam goreng,ayam goreng,,cui-wd-q787497,Q16836245,Ayam goreng
fam-wd-q17998502,ayam goreng Kalasan,ayam goreng kalasan,,cui-wd-q787497,Q17998502,Ayam goreng kalasan
fam-wd-q85744456,Ayam kodok,ayam kodok,,cui-wd-q787497,Q85744456,Ayam kodok
fam-wd-q28163731,Ayam masak kicap,ayam masak kicap,,cui-wd-q787497,Q28163731,Ayam kecap
fam-wd-q65210405,Ayam panggang,ayam panggang,,cui-wd-q787497,Q65210405,Ayam panggang
fam-wd-q7309235,Ayam pansuh,ayam pansuh,,cui-wd-q772247,Q7309235,Ayam pansuh
fam-wd-q2428787,ayam Taliwang,ayam taliwang,,cui-wd-q787497,Q2428787,Ayam Taliwang
fam-wd-q192892,ayran,ayran,,cui-wd-q9943666,Q192892,Ayran
fam-wd-q4833788,B.C. roll,b c roll,cat-wraps-and-rolls-dd6f3471,cui-wd-q1324207,Q4833788,B.C. roll
fam-wd-q17032101,Baba,baba,,,Q17032101,Baba (bread)
fam-wd-q84564532,Baba de camelo,baba de camelo,,cui-wd-q180817,Q84564532,Baba de camelo
fam-wd-q43768843,Babarsa,babarsa,,,Q43768843,Babarsa
fam-wd-q65117391,Babbouche,babbouche,,cui-wd-q1150262,Q65117391,Babbouche
