entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-9,Apple Cider Vinegar,apple cider vinegar,en,src-mealdb,true
ingredient,ing-mealdb-10,Asparagus,asparagus,en,src-mealdb,true
ingredient,ing-mealdb-11,Aubergine,aubergine,en,src-mealdb,true
ingredient,ing-mealdb-13,Baby Plum Tomatoes,baby plum tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-14,Bacon,bacon,en,src-mealdb,true
ingredient,ing-mealdb-15,Baking Powder,baking powder,en,src-mealdb,true
ingredient,ing-mealdb-16,Balsamic Vinegar,balsamic vinegar,en,src-mealdb,true
ingredient,ing-mealdb-17,Basil,basil,en,src-mealdb,true
ingredient,ing-mealdb-18,Basil Leaves,basil leaves,en,src-mealdb,true
ingredient,ing-mealdb-19,Basmati Rice,basmati rice,en,src-mealdb,true
ingredient,ing-mealdb-20,Bay Leaf,bay leaf,en,src-mealdb,true
ingredient,ing-mealdb-20,<http://purl.obolibrary.org/obo/FOODON_03411197>,http purl obolibrary org obo foodon 03411197,en,src-foodon,false
ingredient,ing-mealdb-21,Bay Leaves,bay leaves,en,src-mealdb,true
ingredient,ing-mealdb-23,Beef Brisket,beef brisket,en,src-mealdb,true
ingredient,ing-mealdb-23,beef breast meat,beef breast meat,en,src-foodon,false
ingredient,ing-mealdb-24,Beef Fillet,beef fillet,en,src-mealdb,true
ingredient,ing-mealdb-25,Beef Gravy,beef gravy,en,src-mealdb,true
ingredient,ing-mealdb-26,Beef Stock,beef stock,en,src-mealdb,true
ingredient,ing-mealdb-27,Bicarbonate Of Soda,bicarbonate of soda,en,src-mealdb,true
ingredient,ing-mealdb-28,Biryani Masala,biryani masala,en,src-mealdb,true
ingredient,ing-mealdb-29,Black Pepper,black pepper,en,src-mealdb,true
ingredient,ing-mealdb-30,Black Treacle,black treacle,en,src-mealdb,true
ingredient,ing-mealdb-31,Borlotti Beans,borlotti beans,en,src-mealdb,true
ingredient,ing-mealdb-32,Bowtie Pasta,bowtie pasta,en,src-mealdb,true
ingredient,ing-mealdb-33,Bramley Apples,bramley apples,en,src-mealdb,true
ingredient,ing-mealdb-34,Brandy,brandy,en,src-mealdb,true
ingredient,ing-mealdb-35,Bread,bread,en,src-mealdb,true
ingredient,ing-mealdb-36,Breadcrumbs,breadcrumbs,en,src-mealdb,true
